Manufacturer,VIN,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
Waymo,2C4RC1K70HR534647,0,0,0,0,0,0,3.3,2503.3,1059.3,3001,4192.4,3288.8,742.2815191,0,0,0,0,0,0,0,0,0,0,0
Waymo,2C4RC1K70HR534650,0,0,0,0,0,0,0,883.2,701.6,1645.6,2236.8,2117.1,1197.458225,1556.139231,351.6965775,527.818323,1059.404452,1544.626437,546.3575689,851.510756,2186.887525,532.0950514,682.9070737,532.8273019
Waymo,2C4RC1K70HR534664,0,0,0,0,0,0,0,433.8,2564.9,2489,994.9,3167.3,757.3473846,0,0,0,1212.942877,3334.191619,2869.858669,2114.081114,57.73968211,924.1041172,1760.06182,686.1134813
Waymo,2C4RC1K70HR534678,13.6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waymo,2C4RC1K70HR534681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1458.775908,3407.916475,609.6065841,576.2796302,1433.647588,1219.965688,762.3986541
Waymo,2C4RC1K70HR534695,0,0,0,0,0,0,0,0,0,6.3,0,2152,2138.265134,1832.145196,1551.724048,1349.5964,2039.529403,1077.684628,866.1102688,880.4388072,894.4043086,922.2799906,1565.734518,959.6381622
Waymo,2C4RC1K70HR797379,0,0,0,0,0,29.8,1062.1,1911.2,1748.6,1307.1,4463.3,2396.7,2213.357631,1179.449433,1181.831707,672.573962,2131.841985,1287.357389,1675.068798,396.4007916,573.4819802,633.9034697,3077.546497,928.7453987
Waymo,2C4RC1K70HR805478,0,0,0,0,0,0,0,0,0,0,102.9,2158.3,2200.331266,2281.044478,1548.813451,2069.806884,2757.441653,2172.644345,1145.876446,973.78736,1568.101744,1596.49342,187.6643842,0
Waymo,2C4RC1K70HR827271,0,0,0,0,0,0,0,0,0,0,0,0,4.405880672,2004.187443,1487.345775,1730.752184,2067.733816,3009.577131,2125.968863,2109.186151,2473.130016,2342.803988,1661.269042,1315.26066
Waymo,2C4RC1K70HR833796,0,0,0,0,0,1378,2476.5,2245.7,3922.9,2104.2,4393.3,3418.4,2175.44389,2305.214635,1155.943107,4.493003343,12.93428362,0,0,0,1652.869586,3051.819473,2556.640399,2537.704649
Waymo,2C4RC1K70HR833877,0,0,0,0,0,0,0,0,0,0,991.4,0,4.297351709,0,0,0,0,0,51.74739956,1420.849883,1713.743827,556.745784,347.8234245,731.0032249
Waymo,2C4RC1K71HR534642,1627.2,3240.5,1996.6,3552.7,2865.8,2639.7,2903.4,2666.6,2594.2,3202.4,4201.4,3452.7,754.4613879,1306.652777,1333.968801,1060.052525,173.2345247,408.7834889,257.4025563,0,0,0,0,0
Waymo,2C4RC1K71HR534673,0,0,0,0,0,0,0,0,0,3.9,357.8,3159.3,1295.922403,112.4152261,1018.909211,1319.202797,413.0401283,3061.029037,1639.600836,155.6165074,285.2870866,1131.775249,1410.875384,1006.294748
Waymo,2C4RC1K71HR534687,0,0,0,0,0,0,0.3,2001.8,2028.1,1682.9,3345.9,3018.7,1307.027987,0,0,0,500.6651919,3607.68072,2575.852362,2678.128985,2409.80428,1307.639337,581.6272882,703.0456895
Waymo,2C4RC1K71HR534690,2887.4,2508.4,2846.1,3735.2,1577.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waymo,2C4RC1K71HR695699,0,0,0,0,0,0,3365.7,2748.2,3634.8,4228.7,4550.2,3705.9,2300.875564,2160.339518,1452.560776,1335.230828,1805.906459,2044.557508,1983.743945,1913.863472,2517.366566,513.7287087,933.0010128,1012.853337
Waymo,2C4RC1K71HR797293,0,0,0,0,0,0,0,28.2,2342.5,2950.1,3507.6,274,2026.652124,405.2351026,377.6579281,962.9472641,1791.701101,0,0,0,0,0,0,0
Waymo,2C4RC1K71HR797343,0,0,0,0,0,0,0,0,0,0,0,0,2.932630768,2095.046392,961.6901836,1034.784284,1293.466054,2916.179428,3823.192495,3453.747984,2079.39738,3024.341538,2307.396119,1340.988983
